availability,location,total_sqft,bath,balcony,price,size_filled,price_per_sqft
Ready To Move,Yelahanka,660.0,1.0,0.0,48.0,1 BHK,7272.727272727273
Not Ready To Move,Kanakpura Road,1330.74,2.0,2.0,91.79,2 BHK,6897.665960292769
Ready To Move,Doddathoguru,970.0,2.0,0.0,33.0,2 BHK,3402.061855670103
Not Ready To Move,Whitefield,1459.0,2.0,1.0,94.82,2 BHK,6498.971898560658
Ready To Move,KR Puram,800.0,1.0,1.0,130.0,2 BHK,16250.0
Ready To Move,Himagiri Meadows,869.0,2.0,1.0,36.0,2 BHK,4142.692750287687
Ready To Move,Adarsh Nagar,1270.0,2.0,1.0,50.0,2 BHK,3937.0078740157483
Not Ready To Move,Bhoganhalli,1670.0,3.0,1.0,99.0,3 BHK,5928.143712574851
Ready To Move,Whitefield,2010.0,3.0,2.0,91.0,3 BHK,4527.363184079602
Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2 BHK,6329.113924050633
Ready To Move,Yelahanka,1600.0,2.0,3.0,75.0,3 BHK,4687.5
Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2 BHK,3666.6666666666665
Ready To Move,Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,2 BHK,12333.333333333334
Ready To Move,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2 BHK,5357.142857142857
Ready To Move,Tharabanahalli,4395.0,3.0,2.0,240.0,3 BHK,5460.750853242321
Ready To Move,Ganga Nagar,845.0,2.0,1.0,55.0,2 BHK,6508.87573964497
Ready To Move,Whitefield,5700.0,5.0,3.0,650.0,4 BHK,11403.508771929824
Ready To Move,Varthur,1160.0,2.0,2.0,44.0,2 BHK,3793.103448275862
Ready To Move,Doddathoguru,1100.0,2.0,1.0,62.0,2 BHK,5636.363636363636
Not Ready To Move,Gunjur,1140.0,2.0,3.0,43.0,2 BHK,3771.9298245614036
Ready To Move,Marathahalli,1220.0,2.0,1.0,57.0,2 BHK,4672.131147540984
Ready To Move,Kanakpura Road,1005.0,2.0,1.0,36.68,2 BHK,3649.7512437810947
Ready To Move,Double Road,500.0,3.0,2.0,100.0,3 BHK,20000.0
Not Ready To Move,Begur Road,1358.0,2.0,1.0,80.58,2 BHK,5933.726067746687
Ready To Move,Hegde Nagar,1569.0,3.0,1.0,101.0,3 BHK,6437.221159974506
Not Ready To Move,Haralur Road,1240.0,2.0,1.0,70.0,2 BHK,5645.1612903225805
Ready To Move,Hennur Road,2089.0,3.0,2.0,140.0,3 BHK,6701.771182383915
Ready To Move,Kothannur,1206.0,2.0,1.0,48.23,2 BHK,3999.1708126036483
Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,40.0,2 BHK,3478.2608695652175
Ready To Move,Cholanayakanahalli,2511.0,3.0,3.0,205.0,3 BHK,8164.078056551175
Ready To Move,Kaval Byrasandra,460.0,1.0,0.0,22.0,2 BHK,4782.608695652174
Ready To Move,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,3 BHK,6325.301204819277
Not Ready To Move,Yelahanka,1326.0,2.0,2.0,78.0,2 BHK,5882.35294117647
Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3 BHK,4588.679245283019
Ready To Move,EPIP Zone,1499.0,5.0,2.0,102.0,3 BHK,6804.536357571715
Ready To Move,Kanakpura Road,1665.0,3.0,2.0,88.0,3 BHK,5285.285285285286
Not Ready To Move,Dasanapura,708.0,2.0,2.0,37.0,2 BHK,5225.988700564972
Ready To Move,Kasavanhalli,1060.0,2.0,2.0,58.06,2 BHK,5477.358490566037
Ready To Move,Sanjay nagar,1000.0,2.0,2.0,70.0,2 BHK,7000.0
Not Ready To Move,Electronic City,1000.0,2.0,1.0,28.88,2 BHK,2888.0
Ready To Move, Mysore Highway,1450.0,2.0,2.0,70.0,3 BHK,4827.586206896552
Ready To Move,ISRO Layout,1200.0,4.0,2.0,155.0,4 BHK,12916.666666666666
Not Ready To Move,Thanisandra,1296.0,2.0,3.0,80.0,2 BHK,6172.83950617284
Ready To Move,Domlur,1540.0,3.0,2.0,90.0,3 BHK,5844.1558441558445
Ready To Move,Kengeri,2894.0,4.0,1.0,245.0,4 BHK,8465.791292328957
Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3 BHK,3609.0225563909776
Ready To Move,Devasthanagalu,1200.0,2.0,1.0,65.0,2 BHK,5416.666666666667
Ready To Move,T Dasarahalli,1200.0,3.0,1.0,90.0,3 BHK,7500.0
Ready To Move,Yeshwanthpur,2502.0,3.0,3.0,138.0,3 BHK,5515.587529976019
Ready To Move,Chandapura,650.0,1.0,1.0,17.0,2 BHK,2615.3846153846152
Ready To Move,Kothanur,2400.0,2.0,1.0,150.0,3 BHK,6250.0
Ready To Move,Green View Layout,1007.0,2.0,2.0,43.0,2 BHK,4270.109235352532
Ready To Move,Shantiniketan Layout,1200.0,2.0,2.0,50.0,2 BHK,4166.666666666667
Ready To Move,Peenya,966.0,2.0,2.0,49.9,2 BHK,5165.631469979296
Ready To Move,Nagarbhavi,1630.0,2.0,1.0,98.0,3 BHK,6012.269938650306
Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,229.0,3 BHK,13963.414634146342
Ready To Move,Jalahalli West,782.0,2.0,2.0,55.68,2 BHK,7120.204603580562
Not Ready To Move,Devanahalli,1260.0,2.0,2.0,66.78,2 BHK,5300.0
Ready To Move,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,3 BHK,6666.666666666667
Ready To Move,Byatarayanapura,1413.0,2.0,2.0,75.0,3 BHK,5307.855626326964
Ready To Move,Whitefield,1116.0,2.0,1.0,51.91,2 BHK,4651.433691756272
Ready To Move,Electronic City,1530.0,2.0,1.0,45.9,3 BHK,3000.0
Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4 BHK,6081.081081081081
Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,140.0,3 BHK,5606.728073688426
Ready To Move,Kengeri,1540.0,2.0,3.0,64.0,3 BHK,4155.8441558441555
Not Ready To Move,Thanisandra,1436.0,3.0,1.0,74.75,3 BHK,5205.431754874652
Not Ready To Move,Malleshwaram,1100.0,2.0,2.0,75.0,2 BHK,6818.181818181818
Ready To Move,Thanisandra,1427.0,3.0,2.0,120.0,3 BHK,8409.250175192712
Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,200.0,3 BHK,9704.02717127608
Ready To Move,Shampura,2650.0,4.0,2.0,150.0,4 BHK,5660.377358490566
Not Ready To Move,Devanahalli,1282.0,2.0,2.0,68.52,3 BHK,5344.773790951638
Ready To Move,Kadugodi,1050.0,2.0,1.0,34.0,2 BHK,3238.095238095238
Ready To Move,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3 BHK,4062.5
Not Ready To Move,Vajarahalli,945.0,2.0,1.0,54.0,2 BHK,5714.285714285715
Ready To Move,Hormavu,1500.0,2.0,1.0,78.0,2 BHK,5200.0
Ready To Move,Peenya,1870.0,3.0,3.0,110.0,3 BHK,5882.35294117647
Ready To Move,Sarjapur,1600.0,3.0,1.0,75.0,3 BHK,4687.5
Ready To Move,Electronic City,880.0,1.0,1.0,16.5,2 BHK,1875.0
Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,210.0,4 BHK,17500.0
Ready To Move,Kudlu Gate,1535.0,3.0,2.0,83.0,3 BHK,5407.166123778502
Ready To Move,Kanakpura Road,950.0,2.0,1.0,57.0,2 BHK,6000.0
Not Ready To Move,Devanahalli,1360.0,2.0,1.0,65.0,2 BHK,4779.411764705882
Not Ready To Move,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3 BHK,3937.5
Not Ready To Move,Chandra Layout,1260.0,2.0,2.0,85.05,3 BHK,6750.0
Not Ready To Move,Yelahanka,3050.0,5.0,1.0,213.0,5 BHK,6983.606557377049
Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3 BHK,6717.635392341896
Ready To Move,ISRO Layout,1000.0,2.0,1.0,60.0,2 BHK,6000.0
Not Ready To Move,Anandapura,1167.0,2.0,1.0,43.76,2 BHK,3749.7857754927163
Ready To Move,Kothanur,1828.0,3.0,2.0,110.0,3 BHK,6017.505470459519
Ready To Move,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2 BHK,3932.5842696629215
Ready To Move,Basavanapura,1612.0,3.0,3.0,46.74,3 BHK,2899.5037220843674
Not Ready To Move,Mysore Road,1710.0,4.0,2.0,91.31,3 BHK,5339.766081871345
Ready To Move,Kannamangala,957.0,2.0,1.0,58.0,2 BHK,6060.606060606061
Not Ready To Move, Devarachikkanahalli,1250.0,2.0,3.0,44.0,3 BHK,3520.0
Ready To Move,Sanjeevini Nagar,2795.0,4.0,2.0,235.0,3 BHK,8407.871198568873
Ready To Move,Hulimavu,1125.0,2.0,2.0,50.0,2 BHK,4444.444444444444
Not Ready To Move,Electronic City Phase II,1020.0,2.0,1.0,30.6,2 BHK,3000.0
Ready To Move,Kalena Agrahara,1200.0,2.0,2.0,50.0,2 BHK,4166.666666666667
Ready To Move,Thanisandra,1735.0,3.0,3.0,135.0,3 BHK,7780.979827089337
Ready To Move,Thanisandra,2050.0,3.0,1.0,145.0,3 BHK,7073.170731707317
Ready To Move,Mahalakshmi Layout,3750.0,4.0,0.0,760.0,4 BHK,20266.666666666668
Ready To Move,Yarandahalli,1350.0,2.0,3.0,48.0,3 BHK,3555.5555555555557
Not Ready To Move,Hosa Road,1063.0,2.0,1.0,32.0,2 BHK,3010.348071495767
Ready To Move,Keshava Nagar,1904.0,3.0,1.0,150.0,3 BHK,7878.151260504202
Ready To Move,Whitefield,4200.0,4.0,2.0,420.0,4 BHK,10000.0
Ready To Move,RMV Extension,2000.0,3.0,1.0,175.0,3 BHK,8750.0
Ready To Move,Tejaswini Nagar,1425.0,2.0,2.0,75.0,3 BHK,5263.1578947368425
Ready To Move,Electronic City,1500.0,2.0,1.0,64.5,3 BHK,4300.0
Ready To Move,Electronic City,1060.0,2.0,1.0,60.0,2 BHK,5660.377358490566
Ready To Move,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3 BHK,4761.9047619047615
Ready To Move,Attibele,450.0,1.0,1.0,11.0,1 BHK,2444.4444444444443
Not Ready To Move,Electronic City,1152.0,2.0,1.0,64.5,2 BHK,5598.958333333333
Ready To Move,Electronic City,1350.0,2.0,1.0,56.0,3 BHK,4148.148148148148
Ready To Move,CV Raman Nagar,1550.0,3.0,3.0,65.0,3 BHK,4193.548387096775
Ready To Move,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,3 BHK,6666.666666666667
Ready To Move,Kumaraswami Layout,600.0,3.0,2.0,85.0,5 BHK,14166.666666666666
Ready To Move,Nagavara,400.0,1.0,0.0,14.0,1 BHK,3500.0
Ready To Move,Malleshwaram,705.0,1.0,2.0,67.0,1 BHK,9503.54609929078
Ready To Move,Electronic City,770.0,1.0,1.0,36.0,2 BHK,4675.324675324675
Ready To Move,Hulimavu,1242.0,2.0,3.0,51.0,2 BHK,4106.280193236715
Ready To Move,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3 BHK,9117.64705882353
Ready To Move,Thanisandra,2144.0,3.0,2.0,145.0,3 BHK,6763.059701492537
Not Ready To Move,Vijayanagar,1704.0,3.0,2.0,110.0,3 BHK,6455.399061032864
Ready To Move,Electronic City,1070.0,2.0,1.0,52.0,2 BHK,4859.813084112149
Ready To Move,8th block Koramangala,1846.0,3.0,2.0,300.0,3 BHK,16251.354279523293
Ready To Move,Jakkuru Layout,1340.0,2.0,2.0,55.7,2 BHK,4156.7164179104475
Ready To Move,Electronic City,1025.0,2.0,1.0,46.0,2 BHK,4487.804878048781
Ready To Move,Marathahalli,1200.0,2.0,2.0,52.0,2 BHK,4333.333333333333
Not Ready To Move,Kanakpura Road,2250.0,4.0,1.0,110.0,4 BHK,4888.888888888889
Ready To Move,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3 BHK,5161.290322580645
Ready To Move,Bellandur,1200.0,5.0,2.0,325.0,4 BHK,27083.333333333332
Ready To Move,Marathahalli,1200.0,2.0,2.0,60.0,2 BHK,5000.0
Ready To Move,Yelahanka,1327.0,2.0,2.0,98.0,2 BHK,7385.079125847777
Ready To Move,Kothanur,1186.0,2.0,2.0,58.0,2 BHK,4890.387858347386
Ready To Move,MS Pallya,1783.0,3.0,1.0,115.0,3 BHK,6449.8037016264725
Ready To Move,HSR Layout,1400.0,3.0,2.0,56.0,3 BHK,4000.0
Ready To Move,Nagasandra,980.0,2.0,1.0,48.0,2 BHK,4897.959183673469
Ready To Move,EPIP Zone,1285.0,2.0,2.0,82.0,2 BHK,6381.322957198444
Ready To Move,Langford Town,912.0,2.0,1.0,70.0,3 BHK,7675.438596491228
Ready To Move,Whitefield,1225.0,2.0,2.0,47.6,2 BHK,3885.714285714286
Ready To Move,Whitefield,1075.0,2.0,1.0,53.0,2 BHK,4930.232558139535
Ready To Move,Kadugodi,1260.0,2.0,2.0,54.0,3 BHK,4285.714285714285
Ready To Move,Yelahanka,1282.0,2.0,2.0,48.7,3 BHK,3798.751950078003
Ready To Move,Kogilu,1909.0,3.0,2.0,88.0,3 BHK,4609.743321110529
Ready To Move,Panathur,1359.0,2.0,1.0,87.0,2 BHK,6401.766004415011
Ready To Move,Nagondanahalli,1207.0,2.0,2.0,43.5,2 BHK,3603.976801988401
Ready To Move,Padmanabhanagar,1736.0,6.0,0.0,190.0,4 BHK,10944.700460829494
Not Ready To Move,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4 BHK,15017.543859649122
Ready To Move,Kammasandra,1595.0,3.0,2.0,65.0,3 BHK,4075.2351097178685
Not Ready To Move,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,3 BHK,4949.944382647386
Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3 BHK,5307.796610169492
Ready To Move,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,3 BHK,6329.113924050633
Ready To Move,Dasarahalli,1295.0,2.0,1.0,65.0,2 BHK,5019.305019305019
Ready To Move,Electronic City,589.0,1.0,1.0,27.0,1 BHK,4584.040747028863
Ready To Move,Ngef Layout,1415.0,3.0,3.0,78.0,3 BHK,5512.367491166077
Not Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,98.29,3 BHK,5500.279798545048
Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,125.0,3 BHK,6994.963626189144
Ready To Move,Koramangala,1475.0,2.0,3.0,90.0,3 BHK,6101.6949152542375
Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4 BHK,3775.0
Not Ready To Move,Sarjapur  Road,984.0,2.0,1.0,44.28,2 BHK,4500.0
Ready To Move,Muthurayya Swamy Layout,2405.0,4.0,2.0,260.0,3 BHK,10810.81081081081
Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2 BHK,6666.666666666667
Ready To Move,Shantiniketan Layout,1500.0,2.0,1.0,115.0,2 BHK,7666.666666666667
Ready To Move,Hebbal,1900.0,3.0,2.0,119.0,3 BHK,6263.1578947368425
Not Ready To Move,Dommasandra,805.0,2.0,1.0,22.14,2 BHK,2750.3105590062114
Ready To Move,Budigere,1153.0,2.0,2.0,56.4,2 BHK,4891.587163920208
Ready To Move,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,2 BHK,5226.480836236934
Ready To Move,Mylasandra,1110.0,2.0,2.0,55.0,2 BHK,4954.954954954955
Ready To Move,Electronic City,1100.0,2.0,2.0,42.0,2 BHK,3818.181818181818
Ready To Move,Kalyan nagar,1290.0,2.0,2.0,110.0,2 BHK,8527.131782945737
Ready To Move,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,3 BHK,4333.333333333333
Not Ready To Move,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2 BHK,3611.1111111111113
Not Ready To Move,Vijayanagar,1933.0,3.0,1.0,129.0,3 BHK,6673.564407656492
Ready To Move,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5 BHK,4285.714285714285
Ready To Move,Kullappa Colony,1060.0,2.0,2.0,60.0,2 BHK,5660.377358490566
Not Ready To Move,Chandapura,645.0,1.0,1.0,16.45,1 BHK,2550.3875968992247
Not Ready To Move,Chandapura,645.0,1.0,1.0,16.45,1 BHK,2550.3875968992247
Ready To Move,Ashwath Nagar,1644.0,3.0,3.0,84.0,3 BHK,5109.489051094891
Ready To Move,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2 BHK,5642.023346303502
Ready To Move,Electronic City,1200.0,3.0,1.0,90.0,3 BHK,7500.0
Ready To Move,Electronic City,910.0,2.0,1.0,40.0,2 BHK,4395.604395604396
Ready To Move,Kothanur,1577.0,3.0,1.0,70.0,3 BHK,4438.807863031072
Not Ready To Move,Meenakunte,4050.0,3.0,2.0,280.0,3 BHK,6913.580246913581
Ready To Move,OMBR Layout,2420.0,3.0,2.0,185.0,3 BHK,7644.628099173554
Ready To Move,Chandapura,800.0,1.0,1.0,20.0,2 BHK,2500.0
Ready To Move,Anand Nagar,1060.0,2.0,2.0,55.0,2 BHK,5188.679245283019
Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2 BHK,7322.834645669292
Not Ready To Move,Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,2 BHK,2500.0
Ready To Move,Kundalahalli Colony,1280.0,2.0,1.0,69.0,2 BHK,5390.625
Ready To Move,Horamavu Agara,1200.0,2.0,0.0,95.0,4 BHK,7916.666666666667
Ready To Move,Sarjapur  Road,1025.0,2.0,2.0,36.0,2 BHK,3512.1951219512193
Not Ready To Move,Electronic City,1108.0,2.0,1.0,63.0,2 BHK,5685.9205776173285
Ready To Move,MCECHS  layout,1200.0,5.0,2.0,170.0,5 BHK,14166.666666666666
Ready To Move,Coffee Board Layout,3045.0,3.0,2.0,170.0,3 BHK,5582.922824302134
Ready To Move,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4 BHK,10344.827586206897
Ready To Move,Vijayanagar,1500.0,3.0,2.0,75.5,3 BHK,5033.333333333333
Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2 BHK,3389.96138996139
Ready To Move,Budigere,1162.0,2.0,1.0,59.9,2 BHK,5154.9053356282275
Ready To Move,Sarjapur  Road,1035.0,2.0,2.0,49.2,2 BHK,4753.623188405797
Ready To Move,Attibele,1600.0,4.0,0.0,52.8,4 BHK,3300.0
Ready To Move,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,3 BHK,3142.0765027322404
Not Ready To Move,Hennur Road,1866.0,2.0,2.0,61.58,3 BHK,3300.10718113612
Ready To Move,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,2 BHK,3714.285714285714
Ready To Move,Kalena Agrahara,1804.0,3.0,2.0,120.0,3 BHK,6651.884700665189
Ready To Move,Sarjapur,913.0,2.0,1.0,32.0,2 BHK,3504.9288061336256
Not Ready To Move,Talaghattapura,1868.0,3.0,2.0,131.0,3 BHK,7012.847965738758
Ready To Move,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2 BHK,5096.262740656852
Ready To Move,Sundara Nagar,900.0,2.0,1.0,110.0,2 BHK,12222.222222222223
Ready To Move,Kogilu,1664.0,2.0,3.0,73.95,3 BHK,4444.110576923077
Ready To Move,Hegde Nagar,2026.0,3.0,2.0,132.0,3 BHK,6515.301085883514
Ready To Move,Balagere,1210.0,2.0,1.0,80.9,2 BHK,6685.950413223141
Ready To Move,Meenakunte,4111.0,4.0,2.0,250.0,4 BHK,6081.24543906592
Ready To Move,Kadugodi,1762.0,3.0,3.0,91.45,3 BHK,5190.124858115778
Ready To Move,Jigani,1252.0,3.0,3.0,55.0,3 BHK,4392.97124600639
Ready To Move,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2 BHK,4006.968641114983
Ready To Move,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3 BHK,7042.2535211267605
Ready To Move,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3 BHK,5288.5906040268455
Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,46.0,3 BHK,4279.069767441861
Not Ready To Move,Old Madras Road,1425.0,2.0,2.0,94.0,3 BHK,6596.491228070176
Ready To Move,Kalena Agrahara,1200.0,2.0,1.0,40.0,2 BHK,3333.3333333333335
Ready To Move,Kaggadasapura,1280.0,2.0,2.0,56.0,3 BHK,4375.0
Ready To Move,Silver Springs Layout,1084.0,2.0,2.0,50.0,2 BHK,4612.546125461255
Not Ready To Move,Chandapura,1015.0,2.0,2.0,25.88,2 BHK,2549.753694581281
Not Ready To Move,Kanakpura Road,1017.0,2.0,1.0,51.25,2 BHK,5039.331366764995
Ready To Move,Haralur Road,1027.0,2.0,2.0,44.0,2 BHK,4284.323271665044
Ready To Move,Electronic City Phase II,1069.0,2.0,2.0,45.0,2 BHK,4209.541627689429
Ready To Move,Hebbal,1349.0,2.0,1.0,98.2,2 BHK,7279.466271312083
Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2 BHK,4975.124378109453
Ready To Move,Jakkur,1417.0,2.0,3.0,75.0,2 BHK,5292.87226534933
Not Ready To Move,TC Palaya,1475.0,3.0,1.0,98.0,3 BHK,6644.067796610169
Ready To Move,Maruthi Sevanagar,950.0,2.0,2.0,47.0,2 BHK,4947.368421052632
Ready To Move,RMV 2nd Stage,2000.0,4.0,0.0,120.0,4 BHK,6000.0
Ready To Move,Giri Nagar,880.0,3.0,1.0,140.0,3 BHK,15909.09090909091
Ready To Move,Sarjapur  Road,1863.0,3.0,2.0,104.0,4 BHK,5582.393988191089
Ready To Move,Singasandra,1010.0,2.0,1.0,29.5,2 BHK,2920.792079207921
Ready To Move,Kalena Agrahara,1425.0,2.0,1.0,70.0,3 BHK,4912.2807017543855
Ready To Move,Vijayanagar,1450.0,3.0,0.0,100.0,3 BHK,6896.551724137931
Ready To Move,Kothanur,1847.0,3.0,2.0,105.0,3 BHK,5684.89442338928
Ready To Move,AECS Layout,1100.0,2.0,3.0,45.0,2 BHK,4090.909090909091
Not Ready To Move,Kanakpura Road,525.0,1.0,1.0,26.0,1 BHK,4952.380952380952
Ready To Move,Mallasandra,1665.0,3.0,2.0,95.0,3 BHK,5705.705705705705
Ready To Move,Begur,1664.0,4.0,3.0,65.0,4 BHK,3906.25
Ready To Move,JP Nagar,1850.0,3.0,3.0,150.0,3 BHK,8108.108108108108
Ready To Move,Panathur,1438.0,2.0,3.0,100.0,2 BHK,6954.102920723227
Ready To Move,Sunder Ram Shetty Nagar,1560.0,3.0,3.0,115.0,3 BHK,7371.794871794872
Not Ready To Move,Yelahanka,1350.0,2.0,1.0,55.55,2 BHK,4114.814814814815
Ready To Move,Kanakpura Road,1550.0,3.0,3.0,67.0,3 BHK,4322.580645161291
Not Ready To Move,Malleshpalya,1140.0,2.0,2.0,46.5,2 BHK,4078.9473684210525
Ready To Move,Srirampura,1200.0,5.0,2.0,180.0,5 BHK,15000.0
Not Ready To Move,Kodathi,850.0,2.0,2.0,27.0,2 BHK,3176.470588235294
Ready To Move,Whitefield,1280.0,2.0,2.0,75.0,2 BHK,5859.375
Ready To Move,Munnekollal,1170.0,2.0,2.0,52.0,2 BHK,4444.444444444444
Ready To Move,Motappa Layout,1113.0,2.0,1.0,51.0,2 BHK,4582.210242587601
Ready To Move,Hennur Road,1385.0,2.0,1.0,83.09,2 BHK,5999.27797833935
Not Ready To Move,Electronic City,1128.0,2.0,1.0,65.0,2 BHK,5762.41134751773
Ready To Move,Marathahalli,1200.0,2.0,2.0,128.0,2 BHK,10666.666666666666
Ready To Move,Akshaya Vana,1200.0,4.0,3.0,165.0,4 BHK,13750.0
Ready To Move,Rajaji Nagar,2390.0,3.0,2.0,415.0,3 BHK,17364.016736401674
Ready To Move,Giri Nagar,2400.0,4.0,1.0,400.0,4 BHK,16666.666666666668
Ready To Move,Haralur Road,1464.0,3.0,2.0,56.0,3 BHK,3825.136612021858
